Tissue_name,Color
Adipose_Subcutaneous,#FF6600
Adipose_Visceral_Omentum,#FFAA00
Adrenal_Gland,#33DD33
Artery_Aorta,#FF5555
Artery_Coronary,#FFAA99
Artery_Tibial,#FF0000
Brain_Anterior_cingulate_cortex_BA24,#EEEE00
Brain_Caudate_basal_ganglia,#EEEE00
Brain_Cerebellar_Hemisphere,#EEEE00
Brain_Cerebellum,#EEEE00
Brain_Cortex,#EEEE00
Brain_Frontal_Cortex_BA9,#EEEE00
Brain_Hippocampus,#EEEE00
Brain_Hypothalamus,#EEEE00
Brain_Nucleus_accumbens_basal_ganglia,#EEEE00
Brain_Putamen_basal_ganglia,#EEEE00
Breast_Mammary_Tissue,#33CCCC
Cells_EBV-transformed_lymphocytes,#CC66FF
Cells_Transformed_fibroblasts,#AAEEFF
Colon_Sigmoid,#EEBB77
Colon_Transverse,#CC9955
Esophagus_Gastroesophageal_Junction,#8B7355
Esophagus_Mucosa,#552200
Esophagus_Muscularis,#BB9988
Heart_Atrial_Appendage,#9900FF
Heart_Left_Ventricle,#660099
Liver,#AABB66
Lung,#99FF00
Muscle_Skeletal,#AAAAFF
Nerve_Tibial,#FFD700
Ovary,#FFAAFF
Pancreas,#995522
Pituitary,#AAFF99
Prostate,#DDDDDD
Skin_Not_Sun_Exposed_Suprapubic,#0000FF
Skin_Sun_Exposed_Lower_leg,#7777FF
Small_Intestine_Terminal_Ileum,#555522
Spleen,#778855
Stomach,#FFDD99
Testis,#AAAAAA
Thyroid,#006600
Uterus,#FF66FF
Vagina,#FF5599
Whole_Blood,#FF00BB
Brain_Spinal_cord_cervical_c-1,#EEEE00
Cervix_Endocervix,#B2226A
Cervix_Ectocervix,#B26A22
Brain_Substantia_nigra,#EEEE00
Kidney_Cortex,#226AB2
Brain_Amygdala,#EEEE00
Fallopian_Tube,#7FFFD4
Bladder,#B22222
Minor_Salivary_Gland,#22B2B2
Cells_Leukemia_cell_line_CML,#22B26A
